epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.348,1.50031,3.26506,1.79302,0.00763,0.9375,0.30514,0.17128,1.27679,3.566,1.79607,3.75e-05,3.75e-05,3.75e-05
2,72.7765,1.27366,3.14943,1.56521,0.00762,1,0.3498,0.23216,1.12194,3.56163,1.51772,8.66338e-05,8.66338e-05,8.66338e-05
3,104.918,1.20195,3.05457,1.46976,0.0086,1,0.43536,0.24625,1.16064,3.58254,1.51036,0.000134777,0.000134777,0.000134777
4,139.854,1.1216,2.97891,1.48064,0.0095,1,0.43831,0.25357,1.05612,3.59595,1.43371,0.000181931,0.000181931,0.000181931
5,175.337,1.182,2.87926,1.51827,0.01013,1,0.48348,0.31448,0.94443,3.55457,1.36567,0.000228095,0.000228095,0.000228095
6,209.631,1.07047,2.85245,1.4659,0.00927,1,0.49031,0.31439,1.0222,3.53158,1.50285,0.000273269,0.000273269,0.000273269
7,249.601,1.20065,2.66562,1.44731,0.00854,1,0.5044,0.32467,1.10819,3.51478,1.59325,0.000317452,0.000317452,0.000317452
8,288.603,1.10203,2.5438,1.47177,0.00843,1,0.52898,0.3363,1.1694,3.53168,1.61728,0.000360646,0.000360646,0.000360646
9,326.018,1.20679,2.59757,1.49449,0.00888,1,0.46339,0.28509,1.17089,3.53336,1.58388,0.00040285,0.00040285,0.00040285
10,360.695,1.22153,2.39687,1.5304,0.00912,0.97222,0.4856,0.29348,1.18851,3.50847,1.55561,0.000444064,0.000444064,0.000444064
11,396.358,1.251,2.21034,1.43637,0.00846,1,0.58018,0.3174,1.26785,3.52039,1.57172,0.000484288,0.000484288,0.000484288
12,429.571,1.17342,1.97216,1.40078,0.00771,1,0.64958,0.37244,1.2797,3.41864,1.78507,0.000523521,0.000523521,0.000523521
13,462.86,1.10947,1.96994,1.42961,0.82,0.3382,0.63382,0.3601,1.32426,3.26171,1.81517,0.000561765,0.000561765,0.000561765
14,498.632,1.19212,1.88256,1.45187,0.83696,0.16764,0.65635,0.36434,1.32752,3.18861,1.73435,0.000599019,0.000599019,0.000599019
15,531.73,1.21547,1.88027,1.58536,0.88537,0.17175,0.55955,0.22511,1.55216,3.3303,2.02224,0.000635282,0.000635282,0.000635282
16,567.704,1.18471,1.9218,1.48848,0.75,0.05494,0.35031,0.20857,1.63684,3.41328,2.20094,0.000670556,0.000670556,0.000670556
17,601.99,1.13402,1.82464,1.42562,0.43221,0.22745,0.34322,0.21696,1.70339,3.60554,2.60518,0.00070484,0.00070484,0.00070484
18,635.958,1.22807,1.88035,1.481,0.58785,0.4679,0.51987,0.2492,1.39451,3.44576,1.94227,0.000738134,0.000738134,0.000738134
19,667.802,1.13668,1.75513,1.32501,0.87035,0.17383,0.59294,0.34201,1.35091,3.25339,1.92678,0.000770438,0.000770438,0.000770438
20,700.947,1.21154,1.93371,1.5457,0.92932,0.19448,0.61063,0.36746,1.36918,3.15839,1.93437,0.000801751,0.000801751,0.000801751
21,771.594,1.21731,1.85813,1.49162,0.67133,0.36762,0.52556,0.30489,1.5191,2.99602,2.07238,0.000832075,0.000832075,0.000832075
22,807.274,1.20117,1.69789,1.46347,0.60045,0.2592,0.4872,0.25835,1.55836,3.02784,2.00223,0.000861409,0.000861409,0.000861409
